Image,Femur_Width_px,Tibia_Width_px,Min_JSW_px,Avg_JSW_px
Image_1 copy.jpg,219,198,10,16.91457286432161
Image_1.jpg,203,195,9,18.642857142857142
Image_10 copy.jpg,203,194,11,20.084656084656086
Image_10.jpg,199,188,8,15.36413043478261
Image_100 copy.jpg,187,180,11,16.1878453038674
Image_100.jpg,186,183,8,14.544444444444444
Image_1000 copy.jpg,203,190,10,17.916230366492147
Image_1000.jpg,190,184,10,16.64864864864865
Image_1001 copy.jpg,197,186,9,16.53475935828877
Image_1001.jpg,195,187,9,16.03191489361702
Image_1002 copy.jpg,204,192,8,15.7720207253886
Image_1002.jpg,187,175,7,12.891428571428571
Image_1003 copy.jpg,209,184,9,13.85945945945946
Image_1003.jpg,196,197,8,14.072916666666666
Image_1004 copy.jpg,185,172,8,15.289017341040463
Image_1004.jpg,202,193,5,8.938888888888888
Image_1005 copy.jpg,185,171,8,16.436046511627907
Image_1005.jpg,182,170,10,15.35672514619883
Image_1006 copy.jpg,212,193,9,18.785340314136125
Image_1006.jpg,195,186,9,17.016042780748663
Image_1007 copy.jpg,197,183,8,14.445652173913043
Image_1007.jpg,201,187,9,15.98404255319149
Image_1008 copy.jpg,188,181,7,15.460227272727273
Image_1008.jpg,197,182,6,12.098360655737705
Image_1009 copy.jpg,205,188,9,17.21693121693122
Image_1009.jpg,199,186,8,13.641711229946525
Image_101 copy.jpg,213,199,12,18.015
Image_101.jpg,191,185,7,17.868852459016395
Image_1010 copy.jpg,199,180,9,16.942857142857143
Image_1010.jpg,208,195,9,18.331632653061224
Image_1011 copy.jpg,211,191,9,16.75
Image_1011.jpg,202,186,8,15.3475935828877
Image_1012 copy.jpg,212,198,9,14.78894472361809
Image_1012.jpg,193,181,8,16.60989010989011
Image_1013 copy.jpg,200,186,9,16.016042780748663
Image_1013.jpg,192,180,5,16.01675977653631
Image_1014 copy.jpg,196,183,7,14.58695652173913
Image_1014.jpg,203,196,4,12.463541666666666
Image_1015 copy.jpg,194,184,3,13.837837837837839
Image_1015.jpg,202,187,8,14.48404255319149
Image_1016 copy.jpg,195,178,7,15.382022471910112
Image_1016.jpg,209,194,11,18.046875
Image_1017 copy.jpg,198,186,13,20.165775401069517
Image_1017.jpg,204,185,8,15.526881720430108
Image_1018 copy.jpg,204,189,9,17.11578947368421
Image_1018.jpg,189,182,10,17.92737430167598
Image_1019 copy.jpg,204,187,8,16.20212765957447
Image_1019.jpg,210,189,11,17.773684210526316
Image_102 copy.jpg,208,188,11,17.873015873015873
Image_102.jpg,208,204,8,16.551020408163264
Image_1020 copy.jpg,197,189,2,11.189473684210526
Image_1020.jpg,198,187,5,13.0
Image_1021 copy.jpg,215,202,12,21.133004926108374
Image_1021.jpg,198,186,10,16.989304812834224
Image_1022 copy.jpg,209,188,1,12.100529100529101
Image_1022.jpg,206,196,10,17.0
Image_1023 copy.jpg,197,185,7,13.091397849462366
Image_1023.jpg,208,196,12,17.0625
Image_1024 copy.jpg,188,177,12,18.00561797752809
Image_1024.jpg,198,189,11,18.705263157894738
Image_1025 copy.jpg,205,192,12,23.155440414507773
Image_1025.jpg,183,178,9,15.798882681564246
Image_1026 copy.jpg,203,181,9,16.456043956043956
Image_1026.jpg,202,182,8,14.426229508196721
Image_1027 copy.jpg,190,181,9,14.934065934065934
Image_1027.jpg,202,185,7,14.870967741935484
Image_1028 copy.jpg,200,187,8,19.090425531914892
Image_1028.jpg,202,186,9,15.695187165775401
Image_1029 copy.jpg,207,192,7,16.518134715025905
Image_1029.jpg,207,198,8,15.75897435897436
Image_103 copy.jpg,204,182,9,16.6775956284153
Image_103.jpg,196,189,11,20.125
Image_1030 copy.jpg,189,175,10,14.810344827586206
Image_1030.jpg,195,181,6,12.868131868131869
Image_1031 copy.jpg,191,185,4,10.98360655737705
Image_1031.jpg,200,189,9,14.573684210526316
Image_1032 copy.jpg,189,185,8,15.63978494623656
Image_1032.jpg,208,194,6,13.312820512820513
Image_1033 copy.jpg,202,186,9,16.978494623655912
Image_1033.jpg,204,189,8,15.505263157894737
Image_1034 copy.jpg,194,182,9,15.923497267759563
Image_1034.jpg,212,201,7,11.415384615384616
Image_1035 copy.jpg,203,189,10,16.410526315789475
Image_1035.jpg,211,188,9,14.095238095238095
Image_1036 copy.jpg,209,189,8,15.842105263157896
Image_1036.jpg,196,180,9,14.209944751381215
Image_1037 copy.jpg,208,189,7,13.947368421052632
Image_1037.jpg,218,202,6,14.68472906403941
Image_1038 copy.jpg,205,194,8,16.804123711340207
Image_1038.jpg,207,188,5,14.735449735449736
Image_1039 copy.jpg,201,191,10,17.328125
Image_1039.jpg,198,181,11,16.956043956043956
Image_104 copy.jpg,200,177,7,18.53370786516854
Image_104.jpg,190,181,10,15.736263736263735
Image_1040 copy.jpg,209,190,10,15.664921465968586
Image_1040.jpg,205,192,8,16.979057591623036
Image_1041 copy.jpg,195,178,9,15.71508379888268
Image_1041.jpg,211,196,2,12.464864864864865
Image_1042 copy.jpg,189,176,6,13.03954802259887
Image_1042.jpg,200,193,6,14.836842105263157
Image_1043 copy.jpg,206,187,9,14.340425531914894
Image_1043.jpg,200,190,10,14.900523560209423
Image_1044 copy.jpg,196,184,6,13.578378378378378
Image_1044.jpg,195,179,8,15.422222222222222
Image_1045 copy.jpg,188,182,6,15.934426229508198
Image_1045.jpg,192,179,10,14.955555555555556
Image_1046 copy.jpg,200,185,7,13.10752688172043
Image_1046.jpg,203,189,8,15.973684210526315
Image_1047 copy.jpg,189,178,7,13.40782122905028
Image_1047.jpg,193,180,6,14.220994475138122
Image_1048 copy.jpg,204,194,9,19.53846153846154
Image_1048.jpg,195,185,9,15.344086021505376
Image_1049 copy.jpg,194,185,8,14.559139784946236
Image_1049.jpg,205,192,8,19.78125
Image_105 copy.jpg,207,186,7,15.725806451612904
Image_105.jpg,197,182,13,21.174863387978142
Image_1050 copy.jpg,200,182,8,16.256830601092897
Image_1050.jpg,195,189,8,17.24867724867725
Image_1051 copy.jpg,198,183,8,19.64673913043478
Image_1051.jpg,207,177,5,12.235955056179776
Image_1052 copy.jpg,195,186,6,12.97860962566845
Image_1052.jpg,202,184,7,12.843243243243244
Image_1053 copy.jpg,202,185,8,14.774193548387096
Image_1053.jpg,203,189,11,20.789473684210527
Image_1054 copy.jpg,209,194,7,13.640211640211641
Image_1054.jpg,200,189,8,17.03174603174603
Image_1055 copy.jpg,205,186,8,13.941176470588236
Image_1055.jpg,188,179,8,15.161111111111111
Image_1056 copy.jpg,209,194,8,15.184615384615384
Image_1056.jpg,218,199,9,16.09045226130653
Image_1057 copy.jpg,202,194,5,14.475675675675676
Image_1057.jpg,205,189,10,16.38421052631579
Image_1058 copy.jpg,203,193,9,14.947916666666666
Image_1058.jpg,208,189,7,14.446808510638299
Image_1059 copy.jpg,194,180,6,11.508287292817679
Image_1059.jpg,202,190,10,17.32460732984293
Image_106 copy.jpg,195,180,8,21.005524861878452
Image_106.jpg,208,199,7,16.86
Image_1060 copy.jpg,202,197,3,9.26842105263158
Image_1060.jpg,211,200,9,18.096446700507613
Image_1061 copy.jpg,210,190,9,20.347368421052632
Image_1061.jpg,195,180,12,19.43646408839779
Image_1062 copy.jpg,196,186,6,16.06951871657754
Image_1062.jpg,201,183,6,12.184782608695652
Image_1063 copy.jpg,197,185,8,14.85483870967742
Image_1063.jpg,204,190,5,11.277486910994764
Image_1064 copy.jpg,199,187,8,14.074468085106384
Image_1064.jpg,215,194,8,16.102564102564102
Image_1065 copy.jpg,195,185,9,15.924324324324324
Image_1065.jpg,198,185,7,13.53763440860215
Image_1066 copy.jpg,200,183,8,14.625
Image_1066.jpg,199,185,10,18.177419354838708
Image_1067 copy.jpg,205,186,9,16.78609625668449
Image_1067.jpg,194,184,7,13.1
Image_1068 copy.jpg,209,188,9,15.915343915343914
